article_id,newspaper_name,edition,date,page,headline,byline,article
8_1922-08-18_pNone_sn89080007_00332897858_1922081801_0438,Metropolis weekly gazette.,01,1922-08-18,pNone,,,there is general talk among the negroes of the various states ol not supporting the republican ticket this year as there seems to be a general dissatifaction among them as to they feel that they have not received their share of patron age from the administration and the failure to pass the dyer anti lynch bill notwithstanding they have large majority in the sen
11_1922-08-18_pNone_sn89080007_00332897858_1922081801_0438,Metropolis weekly gazette.,01,1922-08-18,pNone,"Notice Of Change of Policy Of this
Paper Regarding Writ-Ups, Etc.",,notice is hereby given by the manager of this paper that be ginning with august fst there will be a charge on all matter sent here for publication except purely news all papers obituaries pro grams resolutions essays ser mons personal write ups etc there will be charge of for the above named for is lines and all articles containing more than is type lines ioc will be charged fer every additional line this does not apply to news o the churches we are compelled to do this for financial protection our more than p years of experience in the newspaper world has taught us that we have been giving away hundaeds of dollrrs annually paying for setting type for such things in which the general public is not interested in and most of the time the persons writing are not subscribers and not interested in and have no race pride or race loyalty they make long and loud speeches to the galleries preach great sermons and write fne papers on patronizing race enterprises and that is as far as il goes with them as nine times out ten they give their job work what little they have to other persons other than face papers and are withholding the support from the men vho are fighting mob and lynch law and the many other in equalities and evils which contain mate the race fifty two weeks in the year while these would be race lovers find excuses in giving their work to others claiming they are too high priced or the work is inferior to others when at the same time these same papers that they refuse to let do theirs are do ing work for negroes who do not pose as race leaders and too these same race papers are doing job work for some of best busi ness firms and individuals of the white race the papers are great so long as they boost this class individuals for naught and let him help the fellow who does not need his financial assistance there seems too much racial jealousy and envy among the majority of our great leaders and that ac connts for slow progress along race enterprises therefore we have taken the matter under careful advisement and have concluded to place a small charge on all matter except purely news all associational conventional matter we expect the officers of the bodies to take care of in more systematic way hereafter at quarterly and annual meeting our experience a the meetings in the past forces us to make this request no one who believes in a just compensation for honest work will object to this requirement the manager
1_1922-10-29_p15_sn83045462_00280657207_1922102901_0133,Evening star.,01,1922-10-29,p15,"SEES LYNCHING UPHELD.

Correspondent Criticizes Failure to
Pass tie Dyer Bill.",To the Editor OF The Star:,ine e ltor of inc star there is disposition of the part of the south expressed by some of her representatives in the congress to condone the heiuots crime of lynching negroes and the claim has been advanced that il is following the example of the north which began the practice of burning negroes in i at which tim quack and cuffe were tried and convicted of felony wrongfully in the supreme court of new york t is true and of record that quack and cuffee we re burned at the stake and that about fourteen or fifteen suffered from like treatment at the hands of judges who would not ac cept the evidence in their favor by their owners but there is no com parison between the method of trial then and now those who suffered from burnincs at the stake in new york had a sem blance of judicial trial and in accord ance with law and according to in state of feeling of the times when witchcraft and religious hysteria prevailed in the country in this age people are more en lightened if however the south and her representatives wish to be in condition similar to that which n listed in when heretics wer burned alive for having violated tn they lack the enlightenment of tn twentieth century and are willing continue in bcnightcdness and ever ready to estop every effort put forth to elevate them in the scale of loyai and patriotic members in the com monwealth of civilized nations the dyer anti lynching bill which failed of enactment will be up for consideration at the special session of congress which it is expected tn president will convene next month and it is hoped that those who fli bustered and those who shirked their duty of being at their post will give the country the piece of legislation needed for the redemption of its self respect and honor america the united states pointed at as il hypocrite nation t boasts of being christian and charl table in feeding the thousands far away from home but which lacks the same christianity and charity to ward it s own citizens whom il lynches burns and ostracizes in the government departments let the senate by its passage of the dyer anti lynching bill disprove the stigma placed upon the country by those who call the united states a hypocrite nation h f barnett
59_1922-01-22_p1_sn85038485_00340583061_1922012201_0334,The Birmingham age-herald.,01,1922-01-22,p1,NEGRO TAKEN aso AsNIsTow,,admission january i tspecal i b berry a small negro boy who is reported to be is years of ago but who looks younger was rushed to anniston tonight from gadsden to escape a mob which is reported to have sought him following the death of claud sissons newsboy who was cut to death late in the afternoon by the negro at the corner of fourth end chetnut streets berry is the second man to be sent here for safekeeping from gadsden within a month a white man being brought here about a month ago the negro admitted cutting the iit tie boy with knife during a fight which occurred after they had fig ured in a collision on the streets the white boy bleeding to death in minutes after the knife wound was inflicted the dead boy was the son of a widow and was well liked in gadsden reports from gadsden saturday night were to the effect that a moo was being formed in gadsden for the purpose of securing the prisoner from the county jail here and lynching him for the death of the white boy
1_1922-01-01_p1_sn84024827_00211107078_1922010101_0228,Bisbee daily review.,01,1922-01-01,p1,"64 LYNCHED IN

 NATION DUR|NG

 1921;5 WHITES

Reports Compiled at Negro Institution s h W Many

 Mob Attempts Blocked",,tuskegee ala dec sixty four persons were lynched during according to figures of the tus kegee institute which today made public it s annual reports the fig ures compared with lynchings in and according to the institute brought the total number of mob vic tins to since fifty nine of those lynched during were negroes and were white two negro women were included officers prevented lynchings in instances the report declared be ing in northern states and in the south armed forces were used to repel six would be lynching expedi tions sixty two mob victims were lynched in southern states the report declared four were burned to death and three were slain and their bodies burned charges against those burn ed to death were murder and rape and murder nineteen of those lynched were charged with rape or attempted rape offenses of the white persons were murder in four instances and rape in the other one negress was charged with assisting in the escape of a man who had killed an officer the other was charged with melting race trouble according to the report the of lenses charged against the negroes were murder ii attempted murder wounding men furnishing ammuni tion to man resisting arrest rape attempted rape killing men in altercations no special charge leaders in race clashes charge not reported assisting man to escape who had killed officer of law mak ing improper remarks to woman insulting woman l writing note to lcnntiniied paga exyaa
6_1922-07-14_p2_sn85038485_00340583085_1922071401_0223,The Birmingham age-herald.,01,1922-07-14,p2,"Harris Urges That Negro Question Be

 Left for the South", By Associated Press,washington july urging that the negro question be left for the south to solve senator harris dem ocrat georgia speaking today in the senate attacked senator calder re publican new york for placing in the congressional record an article from q new york newspaper about lynching in georgia senator harris charged that senator calder had acted flor political purposes in an effort to get negro votes in his state there is more lawlessness in now york city in one week than there is in georgia in a year declared sen ator harris reading accounts of crimes from several new york dailies even in the day time there is dan ger in certain sections of that city senator harris said negroes who went to the north during the war had found that they received more consideration and better treatment in that south and that returning ne groes had spread this word among the negroes who had remained at home senator shields democrat ten hessee referring to the killing of mine workers at herrin h recent ly said no attempt had been made to apprehend those responsible
5_1922-09-03_p92_sn83045774_00271744365_1922090301_0142,The New York herald.,01,1922-09-03,p92,,,that he wasn t at all tired or sleepy and that his destination wasn t as far of as he thought it was and cranked up the old car and left hur riedly using a discretion in that case which was assuredly the better part of valor there s nothing swashbuckling or over romantic about the peace off gers in that part of the country they simply feel that the obligation to live up b their oath of office is sacred one to be kept as long as life fingers in their bodies this was impressed upon me by my conversa tions with sheriff criser he was hero of an attempted lynching which he frustrated by stark nerve he is a character which fiction writer s tell us about and we laugh of by saying nobody ike that ever lived he had lived for so many years i m the antiquated jail which the county provided for its sheriff that when it was decided to have a modern court house and jail he couldn t bear to see his home destroyed so he simply bought it and lives in the part which had been set aside as living quarters for the jailer while the other part is empty he says it s a good jail and no criminal ever escaped from it the attempted lynching which he tells about took place during his latter days in office two negroes had been arrested while criser was absent feeling ran high and when a mob descended on the jail the deputy in charge rather than ar gue passed out one of the negroes ~h was promptly hanged ii was
2_1922-05-31_p6_sn85038485_00340583097_1922053101_0521,The Birmingham age-herald.,01,1922-05-31,p6,""" THERE ARE TWO KINDS OF IJNCONSTITUTIONALITY",,no anti lynching bill that congress might foolishly adopt in response to the whiplash of northern negro voters will ever get further than adoption senator borah foresees this and declares t would be silly for congress to enact a law which t knows in advance to be unconstitutional there are two kinds of unconstitutionality that written in the constitution and that writ ten in the hearts and common sense of the nation in case of doubt as to the letter of prevail america is not going to have federal officials administer the plain laws of the states lynching is murder nothing short of t murder is punishable by the laws of all the states there have been convictions for lynching in the south white men have been tried found guilty and punished for lynch ing the south has protected prisoners from mob lay by sacrificing the lives of white men it will continue t sefforts to suppress this crime as other states continue their efforts to suppress other crimes but irrespective of the good intentions of the south the nation is not going to place federal constabulary and judiciary in charge of the administration of the police laws of the states that would be doubly unconstitu tional in conflict with the unwritten as well ns the written law even negrophobists will sense the danger of such an innovation the principle could as well be extended to other crimes
18_1922-10-22_p4_sn90052143_00414182811_1922102201_0198,The Brunswick news.,01,1922-10-22,p4,GUARDsMEN WERE RELEASED.,,wilson n c oct the mem bers of the wilson national guard placed on duty about the jail here last night to prevent the lynching of three negroes arrested in connection with the killing of richard lamm were allowed to go to their homes this morning the night passed very quietly
7_1922-03-15_p1_sn84020422_0051415630A_1922031501_0297,Smyrna times.,01,1922-03-15,p1,"NEAR LYNCHING EAST DOVER

Negro Who Pursued COlOred Girl Is
Severely Dealt With By His Race.",,the village of little creek four miles east of dover was wrought up to a pitch of excitement sunday even ing which came near resulting in the lynching of a negro jacob snow as it was snow received volley of shot in his face and head dir harbordt of dover later picking out twenty five grains of the shot reports received from little creek say snow has been making trouble for several weeks with colored girl living with a family near the town he had been warned to stay away but did not heed tile warning and sunday night after an attempt to steal the girl away and threatenin cher he was shot at by one of his own race resulting in the in jury above stated after being shot snow escaped from several who tried to capture him and securing a team from a neighbor was driven to doevr where he received medical attention t was while he was returning to lit tie creek that he was apprehended by the officers who brought him back to dover jail where he is now con fined the hunt for snow was not confined to his own race several white residents of dover armed with shot guns joining in the pursuit t de veloped that snow about two years ago while a prisoner at the kent county jail on being sent to the court house to do some chores skipped and had not been heard of since
